,job_title,quants25,quants50,quants75,mean,counts
1,Applied Data Scientist,167000,177000,278500,238000,3
2,Data Science Consultant,93250,96500,99750,96500,2
3,Data Science Manager,146125,160171,186150,165328,10
4,Data Scientist,105000,140000,167750,143116,84
5,Director of Data Science,268750,287500,306250,287500,2
6,Head of Data Science,138938,167875,195938,167292,3
7,Lead Data Scientist,190000,190000,190000,190000,1
8,Principal Data Scientist,202750,227500,280250,255500,4
9,Staff Data Scientist,105000,105000,105000,105000,1
